Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate
(per 100,000)"
Actual,Melanoma of the skin,1987,Males,All ages combined,"2,874",35.4
Actual,Melanoma of the skin,1988,Males,00-04,0,0.0
Actual,Melanoma of the skin,1988,Males,05-09,0,0.0
Actual,Melanoma of the skin,1988,Males,10-14,4,0.6
Actual,Melanoma of the skin,1988,Males,15-19,56,7.8
Actual,Melanoma of the skin,1988,Males,20-24,90,13.4
Actual,Melanoma of the skin,1988,Males,25-29,162,22.9
Actual,Melanoma of the skin,1988,Males,30-34,190,28.6
Actual,Melanoma of the skin,1988,Males,35-39,229,35.7
Actual,Melanoma of the skin,1988,Males,40-44,264,44.3
Actual,Melanoma of the skin,1988,Males,45-49,256,55.5
Actual,Melanoma of the skin,1988,Males,50-54,287,72.9
Actual,Melanoma of the skin,1988,Males,55-59,311,82.9
Actual,Melanoma of the skin,1988,Males,60-64,350,96.9
Actual,Melanoma of the skin,1988,Males,65-69,344,117.7
Actual,Melanoma of the skin,1988,Males,70-74,281,132.1
Actual,Melanoma of the skin,1988,Males,75-79,203,141.8
Actual,Melanoma of the skin,1988,Males,80-84,96,130.1
Actual,Melanoma of the skin,1988,Males,85-89,60,209.0
Actual,Melanoma of the skin,1988,Males,90+,14,152.6
Actual,Melanoma of the skin,1988,Males,All ages combined,"3,198",38.8
Actual,Melanoma of the skin,1989,Males,00-04,1,0.2
Actual,Melanoma of the skin,1989,Males,05-09,1,0.2
Actual,Melanoma of the skin,1989,Males,10-14,12,1.9
Actual,Melanoma of the skin,1989,Males,15-19,37,5.1
Actual,Melanoma of the skin,1989,Males,20-24,66,9.7
Actual,Melanoma of the skin,1989,Males,25-29,110,15.3
Actual,Melanoma of the skin,1989,Males,30-34,171,25.1
Actual,Melanoma of the skin,1989,Males,35-39,214,33.0
Actual,Melanoma of the skin,1989,Males,40-44,267,43.1
Actual,Melanoma of the skin,1989,Males,45-49,244,50.6
Actual,Melanoma of the skin,1989,Males,50-54,232,57.2
Actual,Melanoma of the skin,1989,Males,55-59,271,73.0
Actual,Melanoma of the skin,1989,Males,60-64,405,111.0
Actual,Melanoma of the skin,1989,Males,65-69,360,117.3
Actual,Melanoma of the skin,1989,Males,70-74,288,135.7
Actual,Melanoma of the skin,1989,Males,75-79,223,148.9
Actual,Melanoma of the skin,1989,Males,80-84,131,170.0
Actual,Melanoma of the skin,1989,Males,85-89,53,173.8
Actual,Melanoma of the skin,1989,Males,90+,15,158.1
Actual,Melanoma of the skin,1989,Males,All ages combined,"3,103",37.0
Actual,Melanoma of the skin,1990,Males,00-04,1,0.2
Actual,Melanoma of the skin,1990,Males,05-09,1,0.2
Actual,Melanoma of the skin,1990,Males,10-14,4,0.6
Actual,Melanoma of the skin,1990,Males,15-19,47,6.6
Actual,Melanoma of the skin,1990,Males,20-24,64,9.3
Actual,Melanoma of the skin,1990,Males,25-29,115,16.1
Actual,Melanoma of the skin,1990,Males,30-34,171,24.5
Actual,Melanoma of the skin,1990,Males,35-39,195,29.7
Actual,Melanoma of the skin,1990,Males,40-44,272,42.5
Actual,Melanoma of the skin,1990,Males,45-49,251,49.9
Actual,Melanoma of the skin,1990,Males,50-54,283,67.3
Actual,Melanoma of the skin,1990,Males,55-59,271,73.9
Actual,Melanoma of the skin,1990,Males,60-64,359,97.6
Actual,Melanoma of the skin,1990,Males,65-69,348,110.9
Actual,Melanoma of the skin,1990,Males,70-74,322,147.8
Actual,Melanoma of the skin,1990,Males,75-79,235,152.1
Actual,Melanoma of the skin,1990,Males,80-84,135,167.1
Actual,Melanoma of the skin,1990,Males,85-89,60,190.2
Actual,Melanoma of the skin,1990,Males,90+,14,139.6
Actual,Melanoma of the skin,1990,Males,All ages combined,"3,148",37.0
Actual,Melanoma of the skin,1991,Males,00-04,1,0.2
Actual,Melanoma of the skin,1991,Males,05-09,1,0.2
Actual,Melanoma of the skin,1991,Males,10-14,8,1.3
Actual,Melanoma of the skin,1991,Males,15-19,53,7.6
Actual,Melanoma of the skin,1991,Males,20-24,63,8.9
Actual,Melanoma of the skin,1991,Males,25-29,128,18.2
Actual,Melanoma of the skin,1991,Males,30-34,163,22.8
Actual,Melanoma of the skin,1991,Males,35-39,202,30.4
Actual,Melanoma of the skin,1991,Males,40-44,256,39.1
Actual,Melanoma of the skin,1991,Males,45-49,263,50.0
Actual,Melanoma of the skin,1991,Males,50-54,255,58.8
Actual,Melanoma of the skin,1991,Males,55-59,282,76.8
Actual,Melanoma of the skin,1991,Males,60-64,341,93.0
Actual,Melanoma of the skin,1991,Males,65-69,361,112.8
Actual,Melanoma of the skin,1991,Males,70-74,332,145.3
Actual,Melanoma of the skin,1991,Males,75-79,252,158.5
Actual,Melanoma of the skin,1991,Males,80-84,153,181.3
Actual,Melanoma of the skin,1991,Males,85-89,61,180.3
Actual,Melanoma of the skin,1991,Males,90+,11,105.9
Actual,Melanoma of the skin,1991,Males,All ages combined,"3,187",37.0
Actual,Melanoma of the skin,1992,Males,00-04,1,0.2
Actual,Melanoma of the skin,1992,Males,05-09,1,0.2
Actual,Melanoma of the skin,1992,Males,10-14,5,0.8
Actual,Melanoma of the skin,1992,Males,15-19,39,5.8
Actual,Melanoma of the skin,1992,Males,20-24,91,12.6
Actual,Melanoma of the skin,1992,Males,25-29,115,16.6
Actual,Melanoma of the skin,1992,Males,30-34,153,21.1
Actual,Melanoma of the skin,1992,Males,35-39,221,32.7
Actual,Melanoma of the skin,1992,Males,40-44,281,43.0
Actual,Melanoma of the skin,1992,Males,45-49,288,51.3
Actual,Melanoma of the skin,1992,Males,50-54,275,61.7
Actual,Melanoma of the skin,1992,Males,55-59,318,85.1
Actual,Melanoma of the skin,1992,Males,60-64,431,118.9
Actual,Melanoma of the skin,1992,Males,65-69,440,135.5
Actual,Melanoma of the skin,1992,Males,70-74,365,152.7
Actual,Melanoma of the skin,1992,Males,75-79,304,187.7
Actual,Melanoma of the skin,1992,Males,80-84,173,195.9
Actual,Melanoma of the skin,1992,Males,85-89,60,167.4
Actual,Melanoma of the skin,1992,Males,90+,26,226.8
Actual,Melanoma of the skin,1992,Males,All ages combined,"3,587",41.2
Actual,Melanoma of the skin,1993,Males,00-04,0,0.0
Actual,Melanoma of the skin,1993,Males,05-09,1,0.2
Actual,Melanoma of the skin,1993,Males,10-14,11,1.7
Actual,Melanoma of the skin,1993,Males,15-19,39,5.9
Actual,Melanoma of the skin,1993,Males,20-24,75,10.3
Actual,Melanoma of the skin,1993,Males,25-29,122,17.9
Actual,Melanoma of the skin,1993,Males,30-34,144,19.7
Actual,Melanoma of the skin,1993,Males,35-39,223,32.6
Actual,Melanoma of the skin,1993,Males,40-44,253,38.8
Actual,Melanoma of the skin,1993,Males,45-49,300,50.4
Actual,Melanoma of the skin,1993,Males,50-54,301,66.2
Actual,Melanoma of the skin,1993,Males,55-59,321,83.9
Actual,Melanoma of the skin,1993,Males,60-64,408,114.2
Actual,Melanoma of the skin,1993,Males,65-69,453,137.6
Actual,Melanoma of the skin,1993,Males,70-74,436,174.3
Actual,Melanoma of the skin,1993,Males,75-79,342,209.8
Actual,Melanoma of the skin,1993,Males,80-84,183,196.6
Actual,Melanoma of the skin,1993,Males,85-89,72,190.3
Actual,Melanoma of the skin,1993,Males,90+,28,225.2
Actual,Melanoma of the skin,1993,Males,All ages combined,"3,713",42.3
Actual,Melanoma of the skin,1994,Males,00-04,0,0.0
Actual,Melanoma of the skin,1994,Males,05-09,0,0.0
Actual,Melanoma of the skin,1994,Males,10-14,10,1.5
Actual,Melanoma of the skin,1994,Males,15-19,34,5.2
Actual,Melanoma of the skin,1994,Males,20-24,89,12.2
Actual,Melanoma of the skin,1994,Males,25-29,134,19.7
Actual,Melanoma of the skin,1994,Males,30-34,171,23.3
Actual,Melanoma of the skin,1994,Males,35-39,227,32.7
Actual,Melanoma of the skin,1994,Males,40-44,273,41.5
Actual,Melanoma of the skin,1994,Males,45-49,334,54.3
Actual,Melanoma of the skin,1994,Males,50-54,356,75.2
Actual,Melanoma of the skin,1994,Males,55-59,345,87.8
Actual,Melanoma of the skin,1994,Males,60-64,389,109.8
Actual,Melanoma of the skin,1994,Males,65-69,431,130.0
Actual,Melanoma of the skin,1994,Males,70-74,405,153.9
Actual,Melanoma of the skin,1994,Males,75-79,323,198.3
Actual,Melanoma of the skin,1994,Males,80-84,202,205.5
Actual,Melanoma of the skin,1994,Males,85-89,81,204.0
Actual,Melanoma of the skin,1994,Males,90+,22,163.3
Actual,Melanoma of the skin,1994,Males,All ages combined,"3,826",43.2
Actual,Melanoma of the skin,1995,Males,00-04,0,0.0
Actual,Melanoma of the skin,1995,Males,05-09,1,0.2
Actual,Melanoma of the skin,1995,Males,10-14,7,1.1
Actual,Melanoma of the skin,1995,Males,15-19,59,9.1
Actual,Melanoma of the skin,1995,Males,20-24,86,11.9
Actual,Melanoma of the skin,1995,Males,25-29,137,19.9
Actual,Melanoma of the skin,1995,Males,30-34,172,23.6
Actual,Melanoma of the skin,1995,Males,35-39,223,31.5
Actual,Melanoma of the skin,1995,Males,40-44,320,48.2
Actual,Melanoma of the skin,1995,Males,45-49,335,52.9
Actual,Melanoma of the skin,1995,Males,50-54,359,72.6
Actual,Melanoma of the skin,1995,Males,55-59,391,96.5
Actual,Melanoma of the skin,1995,Males,60-64,417,118.4
Actual,Melanoma of the skin,1995,Males,65-69,499,149.4
Actual,Melanoma of the skin,1995,Males,70-74,476,176.9
Actual,Melanoma of the skin,1995,Males,75-79,330,195.4
Actual,Melanoma of the skin,1995,Males,80-84,215,210.3
Actual,Melanoma of the skin,1995,Males,85-89,101,239.8
Actual,Melanoma of the skin,1995,Males,90+,26,179.6
Actual,Melanoma of the skin,1995,Males,All ages combined,"4,154",46.4
Actual,Melanoma of the skin,1996,Males,00-04,1,0.2
Actual,Melanoma of the skin,1996,Males,05-09,2,0.3
Actual,Melanoma of the skin,1996,Males,10-14,9,1.3
Actual,Melanoma of the skin,1996,Males,15-19,55,8.4
Actual,Melanoma of the skin,1996,Males,20-24,69,9.8
Actual,Melanoma of the skin,1996,Males,25-29,154,21.8
Actual,Melanoma of the skin,1996,Males,30-34,158,22.0
Actual,Melanoma of the skin,1996,Males,35-39,229,31.6
Actual,Melanoma of the skin,1996,Males,40-44,305,45.3
Actual,Melanoma of the skin,1996,Males,45-49,380,58.3
Actual,Melanoma of the skin,1996,Males,50-54,394,76.5
Actual,Melanoma of the skin,1996,Males,55-59,375,89.8
Actual,Melanoma of the skin,1996,Males,60-64,404,114.7
Actual,Melanoma of the skin,1996,Males,65-69,501,149.2
Actual,Melanoma of the skin,1996,Males,70-74,508,184.9
Actual,Melanoma of the skin,1996,Males,75-79,405,226.6
Actual,Melanoma of the skin,1996,Males,80-84,252,239.2
Actual,Melanoma of the skin,1996,Males,85-89,110,247.1
Actual,Melanoma of the skin,1996,Males,90+,38,245.3
Actual,Melanoma of the skin,1996,Males,All ages combined,"4,349",48.0
Actual,Melanoma of the skin,1997,Males,00-04,1,0.2
Actual,Melanoma of the skin,1997,Males,05-09,2,0.3
Actual,Melanoma of the skin,1997,Males,10-14,10,1.5
Actual,Melanoma of the skin,1997,Males,15-19,37,5.7
Actual,Melanoma of the skin,1997,Males,20-24,91,13.3
Actual,Melanoma of the skin,1997,Males,25-29,148,20.5
Actual,Melanoma of the skin,1997,Males,30-34,185,26.2
Actual,Melanoma of the skin,1997,Males,35-39,238,32.4
Actual,Melanoma of the skin,1997,Males,40-44,289,42.3
Actual,Melanoma of the skin,1997,Males,45-49,422,65.2
Actual,Melanoma of the skin,1997,Males,50-54,476,85.7
Actual,Melanoma of the skin,1997,Males,55-59,427,98.8
Actual,Melanoma of the skin,1997,Males,60-64,432,120.1
Actual,Melanoma of the skin,1997,Males,65-69,543,161.7
Actual,Melanoma of the skin,1997,Males,70-74,601,214.3
Actual,Melanoma of the skin,1997,Males,75-79,427,225.9
Actual,Melanoma of the skin,1997,Males,80-84,243,224.7
Actual,Melanoma of the skin,1997,Males,85-89,94,199.2
Actual,Melanoma of the skin,1997,Males,90+,27,164.5
Actual,Melanoma of the skin,1997,Males,All ages combined,"4,693",51.3
Actual,Melanoma of the skin,1998,Males,00-04,0,0.0
Actual,Melanoma of the skin,1998,Males,05-09,1,0.1
Actual,Melanoma of the skin,1998,Males,10-14,6,0.9
Actual,Melanoma of the skin,1998,Males,15-19,28,4.3
Actual,Melanoma of the skin,1998,Males,20-24,61,9.1
Actual,Melanoma of the skin,1998,Males,25-29,121,16.6
Actual,Melanoma of the skin,1998,Males,30-34,160,22.9
Actual,Melanoma of the skin,1998,Males,35-39,232,31.2
Actual,Melanoma of the skin,1998,Males,40-44,261,37.8
Actual,Melanoma of the skin,1998,Males,45-49,402,61.7
Actual,Melanoma of the skin,1998,Males,50-54,467,79.3
Actual,Melanoma of the skin,1998,Males,55-59,445,99.7
Actual,Melanoma of the skin,1998,Males,60-64,428,115.7
Actual,Melanoma of the skin,1998,Males,65-69,505,151.4
Actual,Melanoma of the skin,1998,Males,70-74,512,178.6
Actual,Melanoma of the skin,1998,Males,75-79,460,230.5
Actual,Melanoma of the skin,1998,Males,80-84,244,221.5
Actual,Melanoma of the skin,1998,Males,85-89,114,226.7
Actual,Melanoma of the skin,1998,Males,90+,34,193.5
Actual,Melanoma of the skin,1998,Males,All ages combined,"4,482",48.5
Actual,Melanoma of the skin,1999,Males,00-04,0,0.0
Actual,Melanoma of the skin,1999,Males,05-09,2,0.3
Actual,Melanoma of the skin,1999,Males,10-14,2,0.3
Actual,Melanoma of the skin,1999,Males,15-19,44,6.7
Actual,Melanoma of the skin,1999,Males,20-24,69,10.5
Actual,Melanoma of the skin,1999,Males,25-29,125,17.2
Actual,Melanoma of the skin,1999,Males,30-34,173,24.8
Actual,Melanoma of the skin,1999,Males,35-39,245,32.8
Actual,Melanoma of the skin,1999,Males,40-44,295,42.0
Actual,Melanoma of the skin,1999,Males,45-49,400,60.7
Actual,Melanoma of the skin,1999,Males,50-54,443,72.5
Actual,Melanoma of the skin,1999,Males,55-59,454,97.4
Actual,Melanoma of the skin,1999,Males,60-64,479,125.2
Actual,Melanoma of the skin,1999,Males,65-69,496,149.5
Actual,Melanoma of the skin,1999,Males,70-74,579,197.7
Actual,Melanoma of the skin,1999,Males,75-79,474,224.7
Actual,Melanoma of the skin,1999,Males,80-84,289,258.2
Actual,Melanoma of the skin,1999,Males,85-89,121,226.6
Actual,Melanoma of the skin,1999,Males,90+,44,231.9
Actual,Melanoma of the skin,1999,Males,All ages combined,"4,734",50.7
Actual,Melanoma of the skin,2000,Males,00-04,0,0.0
Actual,Melanoma of the skin,2000,Males,05-09,0,0.0
Actual,Melanoma of the skin,2000,Males,10-14,5,0.7
Actual,Melanoma of the skin,2000,Males,15-19,34,5.1
Actual,Melanoma of the skin,2000,Males,20-24,71,10.9
Actual,Melanoma of the skin,2000,Males,25-29,131,18.3
Actual,Melanoma of the skin,2000,Males,30-34,166,23.6
Actual,Melanoma of the skin,2000,Males,35-39,228,30.6
Actual,Melanoma of the skin,2000,Males,40-44,327,45.7
Actual,Melanoma of the skin,2000,Males,45-49,401,60.5
Actual,Melanoma of the skin,2000,Males,50-54,470,74.5
Actual,Melanoma of the skin,2000,Males,55-59,486,99.8
Actual,Melanoma of the skin,2000,Males,60-64,488,122.5
Actual,Melanoma of the skin,2000,Males,65-69,490,148.5
Actual,Melanoma of the skin,2000,Males,70-74,620,208.3
Actual,Melanoma of the skin,2000,Males,75-79,490,224.6
Actual,Melanoma of the skin,2000,Males,80-84,295,249.6
Actual,Melanoma of the skin,2000,Males,85-89,133,235.7
Actual,Melanoma of the skin,2000,Males,90+,54,262.1
Actual,Melanoma of the skin,2000,Males,All ages combined,"4,889",51.8
Actual,Melanoma of the skin,2001,Males,00-04,0,0.0
Actual,Melanoma of the skin,2001,Males,05-09,0,0.0
Actual,Melanoma of the skin,2001,Males,10-14,7,1.0
Actual,Melanoma of the skin,2001,Males,15-19,41,6.0
Actual,Melanoma of the skin,2001,Males,20-24,54,8.3
Actual,Melanoma of the skin,2001,Males,25-29,134,19.3
Actual,Melanoma of the skin,2001,Males,30-34,164,22.7
Actual,Melanoma of the skin,2001,Males,35-39,238,32.3
Actual,Melanoma of the skin,2001,Males,40-44,298,40.8
Actual,Melanoma of the skin,2001,Males,45-49,406,60.5
Actual,Melanoma of the skin,2001,Males,50-54,514,79.3
Actual,Melanoma of the skin,2001,Males,55-59,534,104.8
Actual,Melanoma of the skin,2001,Males,60-64,476,115.8
Actual,Melanoma of the skin,2001,Males,65-69,542,162.6
Actual,Melanoma of the skin,2001,Males,70-74,591,196.0
Actual,Melanoma of the skin,2001,Males,75-79,565,250.2
Actual,Melanoma of the skin,2001,Males,80-84,329,258.3
Actual,Melanoma of the skin,2001,Males,85-89,148,250.7
Actual,Melanoma of the skin,2001,Males,90+,60,268.8
Actual,Melanoma of the skin,2001,Males,All ages combined,"5,101",53.3
Actual,Melanoma of the skin,2002,Males,00-04,1,0.2
Actual,Melanoma of the skin,2002,Males,05-09,0,0.0
Actual,Melanoma of the skin,2002,Males,10-14,3,0.4
Actual,Melanoma of the skin,2002,Males,15-19,37,5.4
Actual,Melanoma of the skin,2002,Males,20-24,76,11.4
Actual,Melanoma of the skin,2002,Males,25-29,110,16.1
Actual,Melanoma of the skin,2002,Males,30-34,177,24.0
Actual,Melanoma of the skin,2002,Males,35-39,228,31.3
Actual,Melanoma of the skin,2002,Males,40-44,380,51.0
Actual,Melanoma of the skin,2002,Males,45-49,426,62.5
Actual,Melanoma of the skin,2002,Males,50-54,539,83.6
Actual,Melanoma of the skin,2002,Males,55-59,593,108.6
Actual,Melanoma of the skin,2002,Males,60-64,616,145.6
Actual,Melanoma of the skin,2002,Males,65-69,541,158.5
Actual,Melanoma of the skin,2002,Males,70-74,721,239.2
Actual,Melanoma of the skin,2002,Males,75-79,559,241.7
Actual,Melanoma of the skin,2002,Males,80-84,360,265.2
Actual,Melanoma of the skin,2002,Males,85-89,188,306.3
Actual,Melanoma of the skin,2002,Males,90+,57,245.2
Actual,Melanoma of the skin,2002,Males,All ages combined,"5,612",58.0
Actual,Melanoma of the skin,2003,Males,00-04,1,0.2
Actual,Melanoma of the skin,2003,Males,05-09,0,0.0
Actual,Melanoma of the skin,2003,Males,10-14,4,0.6
Actual,Melanoma of the skin,2003,Males,15-19,33,4.8
Actual,Melanoma of the skin,2003,Males,20-24,55,8.0
Actual,Melanoma of the skin,2003,Males,25-29,111,16.4
Actual,Melanoma of the skin,2003,Males,30-34,168,22.5
Actual,Melanoma of the skin,2003,Males,35-39,232,32.2
Actual,Melanoma of the skin,2003,Males,40-44,313,41.4
Actual,Melanoma of the skin,2003,Males,45-49,397,57.3
Actual,Melanoma of the skin,2003,Males,50-54,545,84.2
Actual,Melanoma of the skin,2003,Males,55-59,695,120.2
Actual,Melanoma of the skin,2003,Males,60-64,532,122.6
Actual,Melanoma of the skin,2003,Males,65-69,544,155.1
Actual,Melanoma of the skin,2003,Males,70-74,630,210.6
Actual,Melanoma of the skin,2003,Males,75-79,652,274.4
Actual,Melanoma of the skin,2003,Males,80-84,405,281.3
Actual,Melanoma of the skin,2003,Males,85-89,195,310.4
Actual,Melanoma of the skin,2003,Males,90+,64,263.2
Actual,Melanoma of the skin,2003,Males,All ages combined,"5,576",57.0
Actual,Melanoma of the skin,2004,Males,00-04,0,0.0
Actual,Melanoma of the skin,2004,Males,05-09,0,0.0
Actual,Melanoma of the skin,2004,Males,10-14,4,0.6
Actual,Melanoma of the skin,2004,Males,15-19,31,4.4
Actual,Melanoma of the skin,2004,Males,20-24,79,11.2
Actual,Melanoma of the skin,2004,Males,25-29,116,17.2
Actual,Melanoma of the skin,2004,Males,30-34,195,26.0
Actual,Melanoma of the skin,2004,Males,35-39,203,28.2
Actual,Melanoma of the skin,2004,Males,40-44,275,36.2
Actual,Melanoma of the skin,2004,Males,45-49,373,52.8
Actual,Melanoma of the skin,2004,Males,50-54,492,75.4
Actual,Melanoma of the skin,2004,Males,55-59,626,104.7
Actual,Melanoma of the skin,2004,Males,60-64,608,135.0
Actual,Melanoma of the skin,2004,Males,65-69,627,173.6
Actual,Melanoma of the skin,2004,Males,70-74,591,198.5
Actual,Melanoma of the skin,2004,Males,75-79,616,253.5
Actual,Melanoma of the skin,2004,Males,80-84,487,320.0
Actual,Melanoma of the skin,2004,Males,85-89,191,297.9
Actual,Melanoma of the skin,2004,Males,90+,78,303.9
Actual,Melanoma of the skin,2004,Males,All ages combined,"5,592",56.5
