Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate
(per 100,000)"
Actual,Melanoma of the skin,1975,Males,40-44,24,6.2
Actual,Melanoma of the skin,1975,Males,45-49,29,7.0
Actual,Melanoma of the skin,1975,Males,50-54,26,6.7
Actual,Melanoma of the skin,1975,Males,55-59,27,8.7
Actual,Melanoma of the skin,1975,Males,60-64,19,6.8
Actual,Melanoma of the skin,1975,Males,65-69,32,15.1
Actual,Melanoma of the skin,1975,Males,70-74,22,15.1
Actual,Melanoma of the skin,1975,Males,75-79,15,17.9
Actual,Melanoma of the skin,1975,Males,80-84,9,20.4
Actual,Melanoma of the skin,1975,Males,85-89,6,32.3
Actual,Melanoma of the skin,1975,Males,90+,1,18.8
Actual,Melanoma of the skin,1975,Males,All ages combined,250,3.6
Actual,Melanoma of the skin,1976,Males,00-04,0,0.0
Actual,Melanoma of the skin,1976,Males,05-09,0,0.0
Actual,Melanoma of the skin,1976,Males,10-14,0,0.0
Actual,Melanoma of the skin,1976,Males,15-19,3,0.5
Actual,Melanoma of the skin,1976,Males,20-24,7,1.2
Actual,Melanoma of the skin,1976,Males,25-29,16,2.7
Actual,Melanoma of the skin,1976,Males,30-34,16,3.2
Actual,Melanoma of the skin,1976,Males,35-39,14,3.2
Actual,Melanoma of the skin,1976,Males,40-44,21,5.4
Actual,Melanoma of the skin,1976,Males,45-49,24,5.8
Actual,Melanoma of the skin,1976,Males,50-54,26,6.6
Actual,Melanoma of the skin,1976,Males,55-59,25,7.8
Actual,Melanoma of the skin,1976,Males,60-64,38,13.5
Actual,Melanoma of the skin,1976,Males,65-69,27,12.4
Actual,Melanoma of the skin,1976,Males,70-74,17,11.4
Actual,Melanoma of the skin,1976,Males,75-79,15,16.9
Actual,Melanoma of the skin,1976,Males,80-84,8,18.2
Actual,Melanoma of the skin,1976,Males,85-89,3,15.5
Actual,Melanoma of the skin,1976,Males,90+,0,0.0
Actual,Melanoma of the skin,1976,Males,All ages combined,260,3.7
Actual,Melanoma of the skin,1977,Males,00-04,0,0.0
Actual,Melanoma of the skin,1977,Males,05-09,0,0.0
Actual,Melanoma of the skin,1977,Males,10-14,0,0.0
Actual,Melanoma of the skin,1977,Males,15-19,3,0.5
Actual,Melanoma of the skin,1977,Males,20-24,4,0.7
Actual,Melanoma of the skin,1977,Males,25-29,12,2.0
Actual,Melanoma of the skin,1977,Males,30-34,16,3.0
Actual,Melanoma of the skin,1977,Males,35-39,20,4.5
Actual,Melanoma of the skin,1977,Males,40-44,17,4.3
Actual,Melanoma of the skin,1977,Males,45-49,28,7.0
Actual,Melanoma of the skin,1977,Males,50-54,30,7.6
Actual,Melanoma of the skin,1977,Males,55-59,34,10.3
Actual,Melanoma of the skin,1977,Males,60-64,40,14.1
Actual,Melanoma of the skin,1977,Males,65-69,36,16.0
Actual,Melanoma of the skin,1977,Males,70-74,28,18.1
Actual,Melanoma of the skin,1977,Males,75-79,20,21.8
Actual,Melanoma of the skin,1977,Males,80-84,13,29.6
Actual,Melanoma of the skin,1977,Males,85-89,6,30.5
Actual,Melanoma of the skin,1977,Males,90+,3,51.6
Actual,Melanoma of the skin,1977,Males,All ages combined,310,4.4
Actual,Melanoma of the skin,1978,Males,00-04,0,0.0
Actual,Melanoma of the skin,1978,Males,05-09,0,0.0
Actual,Melanoma of the skin,1978,Males,10-14,0,0.0
Actual,Melanoma of the skin,1978,Males,15-19,2,0.3
Actual,Melanoma of the skin,1978,Males,20-24,9,1.5
Actual,Melanoma of the skin,1978,Males,25-29,8,1.3
Actual,Melanoma of the skin,1978,Males,30-34,23,4.1
Actual,Melanoma of the skin,1978,Males,35-39,25,5.5
Actual,Melanoma of the skin,1978,Males,40-44,24,6.0
Actual,Melanoma of the skin,1978,Males,45-49,24,6.1
Actual,Melanoma of the skin,1978,Males,50-54,38,9.5
Actual,Melanoma of the skin,1978,Males,55-59,34,9.9
Actual,Melanoma of the skin,1978,Males,60-64,32,11.3
Actual,Melanoma of the skin,1978,Males,65-69,32,13.9
Actual,Melanoma of the skin,1978,Males,70-74,35,21.9
Actual,Melanoma of the skin,1978,Males,75-79,8,8.4
Actual,Melanoma of the skin,1978,Males,80-84,10,22.3
Actual,Melanoma of the skin,1978,Males,85-89,6,30.1
Actual,Melanoma of the skin,1978,Males,90+,2,32.1
Actual,Melanoma of the skin,1978,Males,All ages combined,312,4.3
Actual,Melanoma of the skin,1979,Males,00-04,0,0.0
Actual,Melanoma of the skin,1979,Males,05-09,0,0.0
Actual,Melanoma of the skin,1979,Males,10-14,0,0.0
Actual,Melanoma of the skin,1979,Males,15-19,1,0.1
Actual,Melanoma of the skin,1979,Males,20-24,3,0.5
Actual,Melanoma of the skin,1979,Males,25-29,11,1.8
Actual,Melanoma of the skin,1979,Males,30-34,25,4.3
Actual,Melanoma of the skin,1979,Males,35-39,19,4.1
Actual,Melanoma of the skin,1979,Males,40-44,20,4.9
Actual,Melanoma of the skin,1979,Males,45-49,27,7.0
Actual,Melanoma of the skin,1979,Males,50-54,35,8.8
Actual,Melanoma of the skin,1979,Males,55-59,53,14.8
Actual,Melanoma of the skin,1979,Males,60-64,35,12.5
Actual,Melanoma of the skin,1979,Males,65-69,38,15.9
Actual,Melanoma of the skin,1979,Males,70-74,31,18.8
Actual,Melanoma of the skin,1979,Males,75-79,19,19.1
Actual,Melanoma of the skin,1979,Males,80-84,8,17.5
Actual,Melanoma of the skin,1979,Males,85-89,4,20.1
Actual,Melanoma of the skin,1979,Males,90+,1,15.1
Actual,Melanoma of the skin,1979,Males,All ages combined,330,4.5
Actual,Melanoma of the skin,1980,Males,00-04,0,0.0
Actual,Melanoma of the skin,1980,Males,05-09,0,0.0
Actual,Melanoma of the skin,1980,Males,10-14,0,0.0
Actual,Melanoma of the skin,1980,Males,15-19,3,0.5
Actual,Melanoma of the skin,1980,Males,20-24,3,0.5
Actual,Melanoma of the skin,1980,Males,25-29,12,2.0
Actual,Melanoma of the skin,1980,Males,30-34,21,3.5
Actual,Melanoma of the skin,1980,Males,35-39,17,3.5
Actual,Melanoma of the skin,1980,Males,40-44,16,3.9
Actual,Melanoma of the skin,1980,Males,45-49,24,6.3
Actual,Melanoma of the skin,1980,Males,50-54,34,8.6
Actual,Melanoma of the skin,1980,Males,55-59,44,12.0
Actual,Melanoma of the skin,1980,Males,60-64,47,16.6
Actual,Melanoma of the skin,1980,Males,65-69,40,16.3
Actual,Melanoma of the skin,1980,Males,70-74,41,24.1
Actual,Melanoma of the skin,1980,Males,75-79,22,21.5
Actual,Melanoma of the skin,1980,Males,80-84,9,18.3
Actual,Melanoma of the skin,1980,Males,85-89,4,19.7
Actual,Melanoma of the skin,1980,Males,90+,2,28.4
Actual,Melanoma of the skin,1980,Males,All ages combined,339,4.6
Actual,Melanoma of the skin,1981,Males,00-04,0,0.0
Actual,Melanoma of the skin,1981,Males,05-09,0,0.0
Actual,Melanoma of the skin,1981,Males,10-14,1,0.1
Actual,Melanoma of the skin,1981,Males,15-19,1,0.2
Actual,Melanoma of the skin,1981,Males,20-24,4,0.6
Actual,Melanoma of the skin,1981,Males,25-29,20,3.2
Actual,Melanoma of the skin,1981,Males,30-34,22,3.5
Actual,Melanoma of the skin,1981,Males,35-39,19,3.8
Actual,Melanoma of the skin,1981,Males,40-44,15,3.5
Actual,Melanoma of the skin,1981,Males,45-49,27,7.2
Actual,Melanoma of the skin,1981,Males,50-54,32,8.1
Actual,Melanoma of the skin,1981,Males,55-59,52,14.0
Actual,Melanoma of the skin,1981,Males,60-64,42,14.4
Actual,Melanoma of the skin,1981,Males,65-69,44,17.6
Actual,Melanoma of the skin,1981,Males,70-74,41,23.3
Actual,Melanoma of the skin,1981,Males,75-79,29,27.3
Actual,Melanoma of the skin,1981,Males,80-84,13,25.0
Actual,Melanoma of the skin,1981,Males,85-89,2,9.8
Actual,Melanoma of the skin,1981,Males,90+,0,0.0
Actual,Melanoma of the skin,1981,Males,All ages combined,364,4.9
Actual,Melanoma of the skin,1982,Males,00-04,0,0.0
Actual,Melanoma of the skin,1982,Males,05-09,0,0.0
Actual,Melanoma of the skin,1982,Males,10-14,1,0.1
Actual,Melanoma of the skin,1982,Males,15-19,3,0.5
Actual,Melanoma of the skin,1982,Males,20-24,7,1.0
Actual,Melanoma of the skin,1982,Males,25-29,5,0.8
Actual,Melanoma of the skin,1982,Males,30-34,19,3.1
Actual,Melanoma of the skin,1982,Males,35-39,25,4.6
Actual,Melanoma of the skin,1982,Males,40-44,23,5.2
Actual,Melanoma of the skin,1982,Males,45-49,30,7.8
Actual,Melanoma of the skin,1982,Males,50-54,39,9.9
Actual,Melanoma of the skin,1982,Males,55-59,42,11.2
Actual,Melanoma of the skin,1982,Males,60-64,36,11.8
Actual,Melanoma of the skin,1982,Males,65-69,59,23.4
Actual,Melanoma of the skin,1982,Males,70-74,49,26.7
Actual,Melanoma of the skin,1982,Males,75-79,21,19.0
Actual,Melanoma of the skin,1982,Males,80-84,14,25.5
Actual,Melanoma of the skin,1982,Males,85-89,5,24.0
Actual,Melanoma of the skin,1982,Males,90+,2,26.1
Actual,Melanoma of the skin,1982,Males,All ages combined,380,5.0
Actual,Melanoma of the skin,1983,Males,00-04,0,0.0
Actual,Melanoma of the skin,1983,Males,05-09,0,0.0
Actual,Melanoma of the skin,1983,Males,10-14,0,0.0
Actual,Melanoma of the skin,1983,Males,15-19,1,0.2
Actual,Melanoma of the skin,1983,Males,20-24,7,1.0
Actual,Melanoma of the skin,1983,Males,25-29,7,1.1
Actual,Melanoma of the skin,1983,Males,30-34,21,3.4
Actual,Melanoma of the skin,1983,Males,35-39,22,3.8
Actual,Melanoma of the skin,1983,Males,40-44,24,5.3
Actual,Melanoma of the skin,1983,Males,45-49,16,4.1
Actual,Melanoma of the skin,1983,Males,50-54,35,9.1
Actual,Melanoma of the skin,1983,Males,55-59,43,11.3
Actual,Melanoma of the skin,1983,Males,60-64,51,16.0
Actual,Melanoma of the skin,1983,Males,65-69,43,17.1
Actual,Melanoma of the skin,1983,Males,70-74,42,22.0
Actual,Melanoma of the skin,1983,Males,75-79,24,20.8
Actual,Melanoma of the skin,1983,Males,80-84,18,31.2
Actual,Melanoma of the skin,1983,Males,85-89,7,33.1
Actual,Melanoma of the skin,1983,Males,90+,1,12.7
Actual,Melanoma of the skin,1983,Males,All ages combined,362,4.7
Actual,Melanoma of the skin,1984,Males,00-04,0,0.0
Actual,Melanoma of the skin,1984,Males,05-09,0,0.0
Actual,Melanoma of the skin,1984,Males,10-14,0,0.0
Actual,Melanoma of the skin,1984,Males,15-19,2,0.3
Actual,Melanoma of the skin,1984,Males,20-24,6,0.9
Actual,Melanoma of the skin,1984,Males,25-29,13,2.0
Actual,Melanoma of the skin,1984,Males,30-34,19,3.0
Actual,Melanoma of the skin,1984,Males,35-39,21,3.5
Actual,Melanoma of the skin,1984,Males,40-44,21,4.4
Actual,Melanoma of the skin,1984,Males,45-49,27,6.7
Actual,Melanoma of the skin,1984,Males,50-54,39,10.3
Actual,Melanoma of the skin,1984,Males,55-59,49,12.8
Actual,Melanoma of the skin,1984,Males,60-64,59,17.6
Actual,Melanoma of the skin,1984,Males,65-69,52,20.9
Actual,Melanoma of the skin,1984,Males,70-74,36,18.1
Actual,Melanoma of the skin,1984,Males,75-79,29,24.1
Actual,Melanoma of the skin,1984,Males,80-84,14,22.9
Actual,Melanoma of the skin,1984,Males,85-89,6,27.4
Actual,Melanoma of the skin,1984,Males,90+,4,48.3
Actual,Melanoma of the skin,1984,Males,All ages combined,397,5.1
Actual,Melanoma of the skin,1985,Males,00-04,1,0.2
Actual,Melanoma of the skin,1985,Males,05-09,0,0.0
Actual,Melanoma of the skin,1985,Males,10-14,0,0.0
Actual,Melanoma of the skin,1985,Males,15-19,5,0.7
Actual,Melanoma of the skin,1985,Males,20-24,6,0.9
Actual,Melanoma of the skin,1985,Males,25-29,14,2.1
Actual,Melanoma of the skin,1985,Males,30-34,14,2.2
Actual,Melanoma of the skin,1985,Males,35-39,27,4.3
Actual,Melanoma of the skin,1985,Males,40-44,21,4.2
Actual,Melanoma of the skin,1985,Males,45-49,25,6.0
Actual,Melanoma of the skin,1985,Males,50-54,36,9.6
Actual,Melanoma of the skin,1985,Males,55-59,41,10.6
Actual,Melanoma of the skin,1985,Males,60-64,53,15.4
Actual,Melanoma of the skin,1985,Males,65-69,51,20.1
Actual,Melanoma of the skin,1985,Males,70-74,47,22.9
Actual,Melanoma of the skin,1985,Males,75-79,27,21.4
Actual,Melanoma of the skin,1985,Males,80-84,22,34.7
Actual,Melanoma of the skin,1985,Males,85-89,11,46.1
Actual,Melanoma of the skin,1985,Males,90+,2,23.3
Actual,Melanoma of the skin,1985,Males,All ages combined,403,5.1
Actual,Melanoma of the skin,1986,Males,00-04,0,0.0
Actual,Melanoma of the skin,1986,Males,05-09,0,0.0
Actual,Melanoma of the skin,1986,Males,10-14,0,0.0
Actual,Melanoma of the skin,1986,Males,15-19,3,0.4
Actual,Melanoma of the skin,1986,Males,20-24,6,0.9
Actual,Melanoma of the skin,1986,Males,25-29,9,1.3
Actual,Melanoma of the skin,1986,Males,30-34,26,4.1
Actual,Melanoma of the skin,1986,Males,35-39,20,3.1
Actual,Melanoma of the skin,1986,Males,40-44,24,4.6
Actual,Melanoma of the skin,1986,Males,45-49,21,4.8
Actual,Melanoma of the skin,1986,Males,50-54,32,8.5
Actual,Melanoma of the skin,1986,Males,55-59,39,10.1
Actual,Melanoma of the skin,1986,Males,60-64,42,11.9
Actual,Melanoma of the skin,1986,Males,65-69,51,19.2
Actual,Melanoma of the skin,1986,Males,70-74,59,28.2
Actual,Melanoma of the skin,1986,Males,75-79,48,36.2
Actual,Melanoma of the skin,1986,Males,80-84,21,31.7
Actual,Melanoma of the skin,1986,Males,85-89,12,46.2
Actual,Melanoma of the skin,1986,Males,90+,5,57.1
Actual,Melanoma of the skin,1986,Males,All ages combined,418,5.2
Actual,Melanoma of the skin,1987,Males,00-04,0,0.0
Actual,Melanoma of the skin,1987,Males,05-09,0,0.0
Actual,Melanoma of the skin,1987,Males,10-14,0,0.0
Actual,Melanoma of the skin,1987,Males,15-19,2,0.3
Actual,Melanoma of the skin,1987,Males,20-24,6,0.9
Actual,Melanoma of the skin,1987,Males,25-29,13,1.9
Actual,Melanoma of the skin,1987,Males,30-34,30,4.6
Actual,Melanoma of the skin,1987,Males,35-39,24,3.8
Actual,Melanoma of the skin,1987,Males,40-44,30,5.3
Actual,Melanoma of the skin,1987,Males,45-49,26,5.8
Actual,Melanoma of the skin,1987,Males,50-54,33,8.6
Actual,Melanoma of the skin,1987,Males,55-59,54,14.2
Actual,Melanoma of the skin,1987,Males,60-64,63,17.7
Actual,Melanoma of the skin,1987,Males,65-69,55,19.7
Actual,Melanoma of the skin,1987,Males,70-74,70,32.9
Actual,Melanoma of the skin,1987,Males,75-79,52,37.8
Actual,Melanoma of the skin,1987,Males,80-84,37,52.6
Actual,Melanoma of the skin,1987,Males,85-89,15,55.1
Actual,Melanoma of the skin,1987,Males,90+,7,77.6
Actual,Melanoma of the skin,1987,Males,All ages combined,517,6.4
Actual,Melanoma of the skin,1988,Males,00-04,0,0.0
Actual,Melanoma of the skin,1988,Males,05-09,0,0.0
Actual,Melanoma of the skin,1988,Males,10-14,0,0.0
Actual,Melanoma of the skin,1988,Males,15-19,2,0.3
Actual,Melanoma of the skin,1988,Males,20-24,3,0.4
Actual,Melanoma of the skin,1988,Males,25-29,10,1.4
Actual,Melanoma of the skin,1988,Males,30-34,18,2.7
Actual,Melanoma of the skin,1988,Males,35-39,25,3.9
Actual,Melanoma of the skin,1988,Males,40-44,32,5.4
Actual,Melanoma of the skin,1988,Males,45-49,25,5.4
Actual,Melanoma of the skin,1988,Males,50-54,44,11.2
Actual,Melanoma of the skin,1988,Males,55-59,57,15.2
Actual,Melanoma of the skin,1988,Males,60-64,57,15.8
Actual,Melanoma of the skin,1988,Males,65-69,65,22.2
Actual,Melanoma of the skin,1988,Males,70-74,59,27.7
Actual,Melanoma of the skin,1988,Males,75-79,40,27.9
Actual,Melanoma of the skin,1988,Males,80-84,21,28.5
Actual,Melanoma of the skin,1988,Males,85-89,20,69.7
Actual,Melanoma of the skin,1988,Males,90+,1,10.9
Actual,Melanoma of the skin,1988,Males,All ages combined,479,5.8
Actual,Melanoma of the skin,1989,Males,00-04,0,0.0
Actual,Melanoma of the skin,1989,Males,05-09,0,0.0
Actual,Melanoma of the skin,1989,Males,10-14,0,0.0
Actual,Melanoma of the skin,1989,Males,15-19,3,0.4
Actual,Melanoma of the skin,1989,Males,20-24,2,0.3
Actual,Melanoma of the skin,1989,Males,25-29,7,1.0
Actual,Melanoma of the skin,1989,Males,30-34,15,2.2
Actual,Melanoma of the skin,1989,Males,35-39,22,3.4
Actual,Melanoma of the skin,1989,Males,40-44,22,3.6
Actual,Melanoma of the skin,1989,Males,45-49,33,6.8
Actual,Melanoma of the skin,1989,Males,50-54,39,9.6
Actual,Melanoma of the skin,1989,Males,55-59,54,14.5
Actual,Melanoma of the skin,1989,Males,60-64,60,16.5
Actual,Melanoma of the skin,1989,Males,65-69,67,21.8
Actual,Melanoma of the skin,1989,Males,70-74,70,33.0
Actual,Melanoma of the skin,1989,Males,75-79,58,38.7
Actual,Melanoma of the skin,1989,Males,80-84,33,42.8
Actual,Melanoma of the skin,1989,Males,85-89,13,42.6
Actual,Melanoma of the skin,1989,Males,90+,3,31.6
Actual,Melanoma of the skin,1989,Males,All ages combined,501,6.0
Actual,Melanoma of the skin,1990,Males,00-04,1,0.2
Actual,Melanoma of the skin,1990,Males,05-09,0,0.0
Actual,Melanoma of the skin,1990,Males,10-14,0,0.0
Actual,Melanoma of the skin,1990,Males,15-19,1,0.1
Actual,Melanoma of the skin,1990,Males,20-24,3,0.4
Actual,Melanoma of the skin,1990,Males,25-29,9,1.3
Actual,Melanoma of the skin,1990,Males,30-34,15,2.1
Actual,Melanoma of the skin,1990,Males,35-39,21,3.2
Actual,Melanoma of the skin,1990,Males,40-44,28,4.4
Actual,Melanoma of the skin,1990,Males,45-49,38,7.5
Actual,Melanoma of the skin,1990,Males,50-54,49,11.7
Actual,Melanoma of the skin,1990,Males,55-59,49,13.4
Actual,Melanoma of the skin,1990,Males,60-64,60,16.3
Actual,Melanoma of the skin,1990,Males,65-69,70,22.3
Actual,Melanoma of the skin,1990,Males,70-74,60,27.5
Actual,Melanoma of the skin,1990,Males,75-79,58,37.5
Actual,Melanoma of the skin,1990,Males,80-84,31,38.4
Actual,Melanoma of the skin,1990,Males,85-89,16,50.7
Actual,Melanoma of the skin,1990,Males,90+,3,29.9
Actual,Melanoma of the skin,1990,Males,All ages combined,512,6.0
Actual,Melanoma of the skin,1991,Males,00-04,0,0.0
Actual,Melanoma of the skin,1991,Males,05-09,0,0.0
Actual,Melanoma of the skin,1991,Males,10-14,0,0.0
Actual,Melanoma of the skin,1991,Males,15-19,1,0.1
Actual,Melanoma of the skin,1991,Males,20-24,3,0.4
Actual,Melanoma of the skin,1991,Males,25-29,3,0.4
Actual,Melanoma of the skin,1991,Males,30-34,17,2.4
Actual,Melanoma of the skin,1991,Males,35-39,19,2.9
Actual,Melanoma of the skin,1991,Males,40-44,33,5.0
Actual,Melanoma of the skin,1991,Males,45-49,26,4.9
Actual,Melanoma of the skin,1991,Males,50-54,50,11.5
Actual,Melanoma of the skin,1991,Males,55-59,40,10.9
Actual,Melanoma of the skin,1991,Males,60-64,64,17.4
Actual,Melanoma of the skin,1991,Males,65-69,71,22.2
Actual,Melanoma of the skin,1991,Males,70-74,63,27.6
Actual,Melanoma of the skin,1991,Males,75-79,61,38.4
Actual,Melanoma of the skin,1991,Males,80-84,35,41.5
Actual,Melanoma of the skin,1991,Males,85-89,19,56.2
Actual,Melanoma of the skin,1991,Males,90+,7,67.4
Actual,Melanoma of the skin,1991,Males,All ages combined,512,5.9
Actual,Melanoma of the skin,1992,Males,00-04,1,0.2
Actual,Melanoma of the skin,1992,Males,05-09,0,0.0
Actual,Melanoma of the skin,1992,Males,10-14,1,0.2
Actual,Melanoma of the skin,1992,Males,15-19,0,0.0
Actual,Melanoma of the skin,1992,Males,20-24,5,0.7
Actual,Melanoma of the skin,1992,Males,25-29,8,1.2
Actual,Melanoma of the skin,1992,Males,30-34,19,2.6
Actual,Melanoma of the skin,1992,Males,35-39,22,3.3
Actual,Melanoma of the skin,1992,Males,40-44,23,3.5
Actual,Melanoma of the skin,1992,Males,45-49,37,6.6
Actual,Melanoma of the skin,1992,Males,50-54,25,5.6
Actual,Melanoma of the skin,1992,Males,55-59,39,10.4
Actual,Melanoma of the skin,1992,Males,60-64,59,16.3
Actual,Melanoma of the skin,1992,Males,65-69,66,20.3
Actual,Melanoma of the skin,1992,Males,70-74,77,32.2
Actual,Melanoma of the skin,1992,Males,75-79,66,40.8
Actual,Melanoma of the skin,1992,Males,80-84,47,53.2
Actual,Melanoma of the skin,1992,Males,85-89,22,61.4
Actual,Melanoma of the skin,1992,Males,90+,6,52.3
Actual,Melanoma of the skin,1992,Males,All ages combined,523,6.0
Actual,Melanoma of the skin,1993,Males,00-04,0,0.0
Actual,Melanoma of the skin,1993,Males,05-09,0,0.0
Actual,Melanoma of the skin,1993,Males,10-14,0,0.0
Actual,Melanoma of the skin,1993,Males,15-19,2,0.3
Actual,Melanoma of the skin,1993,Males,20-24,6,0.8
Actual,Melanoma of the skin,1993,Males,25-29,10,1.5
Actual,Melanoma of the skin,1993,Males,30-34,19,2.6
Actual,Melanoma of the skin,1993,Males,35-39,20,2.9
Actual,Melanoma of the skin,1993,Males,40-44,39,6.0
Actual,Melanoma of the skin,1993,Males,45-49,33,5.5
Actual,Melanoma of the skin,1993,Males,50-54,43,9.5
Actual,Melanoma of the skin,1993,Males,55-59,52,13.6
Actual,Melanoma of the skin,1993,Males,60-64,70,19.6
Actual,Melanoma of the skin,1993,Males,65-69,72,21.9
Actual,Melanoma of the skin,1993,Males,70-74,77,30.8
Actual,Melanoma of the skin,1993,Males,75-79,65,39.9
Actual,Melanoma of the skin,1993,Males,80-84,45,48.4
Actual,Melanoma of the skin,1993,Males,85-89,18,47.6
Actual,Melanoma of the skin,1993,Males,90+,10,80.4
Actual,Melanoma of the skin,1993,Males,All ages combined,581,6.6
Actual,Melanoma of the skin,1994,Males,00-04,0,0.0
Actual,Melanoma of the skin,1994,Males,05-09,0,0.0
